Timestamp,Target
1/11/2022 18:00,23.4
1/11/2022 19:00,22.95
1/11/2022 20:00,22.433
1/11/2022 21:00,22.033
1/11/2022 22:00,21.75
1/11/2022 23:00,21.433
1/12/2022 0:00,21.25
1/12/2022 1:00,21.075
1/12/2022 2:00,20.833
1/12/2022 3:00,20.7
1/12/2022 4:00,20.55
1/12/2022 5:00,20.267
1/12/2022 6:00,21.767
1/12/2022 7:00,24.767
1/12/2022 8:00,24.067
1/12/2022 9:00,23.4
1/12/2022 10:00,23.333
1/12/2022 11:00,23.7
1/12/2022 12:00,24.2
1/12/2022 13:00,24.8
1/12/2022 14:00,25.467
1/12/2022 15:00,25.7
1/12/2022 16:00,25.4
1/12/2022 17:00,24.35
1/12/2022 18:00,23.3
1/12/2022 19:00,22.3
1/12/2022 20:00,21.55
1/12/2022 21:00,20.933
1/12/2022 22:00,20.3
1/12/2022 23:00,19.933
1/13/2022 0:00,19.55
1/13/2022 1:00,19.167
1/13/2022 2:00,18.733
1/13/2022 3:00,18.233
1/13/2022 4:00,17.733
1/13/2022 5:00,17.35
1/13/2022 6:00,17.733
1/13/2022 7:00,21.633
1/13/2022 8:00,21.467
1/13/2022 9:00,20.867
1/13/2022 10:00,20.85
1/13/2022 11:00,21.233
1/13/2022 12:00,21.775
1/13/2022 13:00,22.667
1/13/2022 14:00,23.533
1/13/2022 15:00,24
1/13/2022 16:00,23.867
1/13/2022 17:00,23.35
1/13/2022 18:00,22.6
1/13/2022 19:00,21.9
1/13/2022 20:00,21.233
1/13/2022 21:00,21.533
1/13/2022 22:00,22.4
1/13/2022 23:00,26.05
1/14/2022 0:00,25.1
1/14/2022 1:00,23.3
1/14/2022 2:00,21.8
1/14/2022 3:00,20.733
1/14/2022 4:00,19.9
1/14/2022 5:00,19.3
1/14/2022 6:00,19.667
1/14/2022 7:00,20.667
1/14/2022 8:00,21.433
1/14/2022 9:00,22.533
1/14/2022 10:00,18.233
1/14/2022 11:00,17.9
1/14/2022 12:00,12.5
1/14/2022 13:00,9.65
1/14/2022 14:00,17.3
1/14/2022 15:00,25.75
1/14/2022 16:00,26.733
1/14/2022 17:00,25.467
1/14/2022 18:00,24.067
1/14/2022 19:00,23.067
1/14/2022 20:00,22.3
1/14/2022 21:00,21.533
1/14/2022 22:00,23.033
1/14/2022 23:00,26.15
1/15/2022 0:00,24.833
1/15/2022 1:00,23.3
1/15/2022 2:00,22.033
1/15/2022 3:00,20.833
1/15/2022 4:00,19.9
1/15/2022 5:00,19.2
1/15/2022 6:00,18.9
1/15/2022 7:00,20.55
1/15/2022 8:00,21.2
1/15/2022 9:00,21.767
1/15/2022 10:00,22.9
1/15/2022 11:00,13.933
1/15/2022 12:00,21.4
1/15/2022 13:00,14.133
1/15/2022 14:00,18.1
1/15/2022 15:00,18.433
1/15/2022 16:00,13.45
1/15/2022 17:00,23.4
1/15/2022 18:00,23.067
1/15/2022 19:00,23.867
1/15/2022 20:00,22.4
1/15/2022 21:00,22.167
1/15/2022 22:00,21.95
1/15/2022 23:00,26.3
1/16/2022 0:00,25.267
1/16/2022 1:00,23.433
1/16/2022 2:00,21.933
1/16/2022 3:00,20.8
1/16/2022 4:00,20.05
1/16/2022 5:00,19.533
1/16/2022 6:00,19.167
1/16/2022 7:00,20.3
1/16/2022 8:00,21.9
1/16/2022 9:00,22.5
1/16/2022 10:00,16.467
1/16/2022 11:00,23.4
1/16/2022 12:00,17.133
1/16/2022 13:00,11.933
1/16/2022 14:00,10.2
1/16/2022 15:00,12.6
1/16/2022 16:00,17.4
1/16/2022 17:00,16.033
1/16/2022 18:00,15.667
1/16/2022 19:00,23.15
1/16/2022 20:00,15.8
1/16/2022 21:00,15.8
1/16/2022 22:00,22.733
1/16/2022 23:00,26.167
1/17/2022 0:00,24.633
1/17/2022 1:00,23.35
1/17/2022 2:00,22.333
1/17/2022 3:00,21.5
1/17/2022 4:00,20.967
1/17/2022 5:00,20.5
1/17/2022 6:00,20.233
1/17/2022 7:00,23.5
1/17/2022 8:00,22.9
1/17/2022 9:00,22.1
1/17/2022 10:00,22.1
1/17/2022 11:00,22.633
1/17/2022 12:00,23.35
1/17/2022 13:00,24.033
1/17/2022 14:00,24.667
1/17/2022 15:00,24.9
1/17/2022 16:00,24.8
1/17/2022 17:00,24.367
1/17/2022 18:00,23.8
1/17/2022 19:00,23.2
1/17/2022 20:00,22.667
1/17/2022 21:00,22.25
1/17/2022 22:00,22.033
1/17/2022 23:00,21.867
1/18/2022 0:00,21.467
1/18/2022 1:00,21.15
1/18/2022 2:00,20.8
1/18/2022 3:00,20.367
1/18/2022 4:00,19.967
1/18/2022 5:00,19.65
1/18/2022 6:00,19.5
1/18/2022 7:00,19.267
1/18/2022 8:00,19.3
1/18/2022 9:00,19.8
1/18/2022 10:00,20.45
1/18/2022 11:00,21.3
1/18/2022 12:00,22.175
1/18/2022 13:00,23
1/18/2022 14:00,23.867
1/18/2022 15:00,24.367
1/18/2022 16:00,24.35
1/18/2022 17:00,24
1/18/2022 18:00,23.3
1/18/2022 19:00,22.55
1/18/2022 20:00,21.933
1/18/2022 21:00,21.3
1/18/2022 22:00,20.733
1/18/2022 23:00,20.2
1/19/2022 0:00,19.667
1/19/2022 1:00,19.35
1/19/2022 2:00,19.1
1/19/2022 3:00,18.8
1/19/2022 4:00,18.5
1/19/2022 5:00,18.4
1/19/2022 6:00,19.6
1/19/2022 7:00,22.667
1/19/2022 8:00,25.067
1/19/2022 9:00,23.467
1/19/2022 10:00,22.533
1/19/2022 11:00,22.5
1/19/2022 12:00,22.85
1/19/2022 13:00,23.333
1/19/2022 14:00,23.8
1/19/2022 15:00,23.9
1/19/2022 16:00,23.75
1/19/2022 17:00,23.3
1/19/2022 18:00,22.7
1/19/2022 19:00,22.167
1/19/2022 20:00,21.75
1/19/2022 21:00,21.333
1/19/2022 22:00,21
1/19/2022 23:00,20.9
1/20/2022 0:00,20.633
1/20/2022 1:00,20.3
1/20/2022 2:00,20
1/20/2022 3:00,19.75
1/20/2022 4:00,19.467
1/20/2022 5:00,19.233
1/20/2022 6:00,20.333
1/20/2022 7:00,18.6
1/20/2022 8:00,15.6
1/20/2022 9:00,15.3
1/20/2022 10:00,12.1
1/20/2022 11:00,9.6
1/20/2022 12:00,10.4
1/20/2022 13:00,10.233
1/20/2022 14:00,10
1/20/2022 15:00,10.033
1/20/2022 16:00,10.267
1/20/2022 17:00,9.933
1/20/2022 18:00,9.233
1/20/2022 19:00,13.633
1/20/2022 20:00,24.533
1/20/2022 21:00,23.667
1/20/2022 22:00,22.433
1/20/2022 23:00,21.9
1/21/2022 0:00,21.6
1/21/2022 1:00,21.233
1/21/2022 2:00,20.833
1/21/2022 3:00,20.45
1/21/2022 4:00,20.133
1/21/2022 5:00,19.733
1/21/2022 6:00,20.033
1/21/2022 7:00,16.633
1/21/2022 8:00,20.25
1/21/2022 9:00,10.85
1/21/2022 10:00,13.1
1/21/2022 11:00,9.267
1/21/2022 12:00,9.833
1/21/2022 13:00,10
1/21/2022 14:00,9.967
1/21/2022 15:00,9.8
1/21/2022 16:00,8.7
1/21/2022 17:00,12.133
1/21/2022 18:00,11.3
1/21/2022 19:00,11.4
1/21/2022 20:00,13.967
1/21/2022 21:00,12.933
1/21/2022 22:00,10.6
1/21/2022 23:00,24.033
1/22/2022 0:00,24.5
1/22/2022 1:00,23.55
1/22/2022 2:00,22.6
1/22/2022 3:00,21.667
1/22/2022 4:00,20.85
1/22/2022 5:00,20.25
1/22/2022 6:00,20.3
1/22/2022 7:00,16.15
1/22/2022 8:00,11.633
1/22/2022 9:00,11.2
1/22/2022 10:00,12.25
1/22/2022 11:00,8.667
1/22/2022 12:00,8.533
1/22/2022 13:00,10.933
1/22/2022 14:00,9.1
1/22/2022 15:00,10
1/22/2022 16:00,23.075
1/22/2022 17:00,25.033
1/22/2022 18:00,24.433
1/22/2022 19:00,23.933
1/22/2022 20:00,23.15
1/22/2022 21:00,22.6
1/22/2022 22:00,22.167
1/22/2022 23:00,22.033
1/23/2022 0:00,22.067
1/23/2022 1:00,21.967
1/23/2022 2:00,21.65
1/23/2022 3:00,21.333
