model_name,num_clients,Sum of Instances in Clients,Max. Of Instances in Clients,Min. Of Instances in Clients,Stddev of Instances in Clients,Average Dataset Missing Values %,Min Dataset Missing Values %,Max Dataset Missing Values %,Stddev Dataset Missing Values %,Average Target Missing Values %,Min Target Missing Values %,Max Target Missing Values %,Stddev Target Missing Values %,No. Of Features,No. Of Numerical Features,No. Of Categorical Features,Sampling Rate,Average Skewness of Numerical Features,Minimum Skewness of Numerical Features,Maximum Skewness of Numerical Features,Stddev Skewness of Numerical Features,Average Kurtosis of Numerical Features,Minimum Kurtosis of Numerical Features,Maximum Kurtosis of Numerical Features,Stddev Kurtosis of Numerical Features,Avg No. of Symbols per Categorical Features,Min. No. Of Symbols per Categorical Features,Max. No. Of Symbols per Categorical Features,Stddev No. Of Symbols per Categorical Features,Avg No. Of Stationary Features,Min No. Of Stationary Features,Max No. Of Stationary Features,Stddev No. Of Stationary Features,Avg No. Of Stationary Features after 1st order,Min No. Of Stationary Features after 1st order,Max No. Of Stationary Features after 1st order,Stddev No. Of Stationary Features after 1st order,Avg No. Of Stationary Features after 2nd order,Min No. Of Stationary Features after 2nd order,Max No. Of Stationary Features after 2nd order,Stddev No. Of Stationary Features after 2nd order,Avg No. Of Significant Lags in Target,Min No. Of Significant Lags in Target,Max No. Of Significant Lags in Target,Stddev No. Of Significant Lags in Target,Avg No. Of Insignificant Lags in Target,Max No. Of Insignificant Lags in Target,Min No. Of Insignificant Lags in Target,Stddev No. Of Insignificant Lags in Target,Avg. No. Of Seasonality Components in Target,Max No. Of Seasonality Components in Target,Min No. Of Seasonality Components in Target,Stddev No. Of Seasonality Components in Target,Average Fractal Dimensionality Across Clients of Target,Maximum Period of Seasonality Components in Target Across Clients,Minimum Period of Seasonality Components in Target Across Clients,Entropy of Target Stationarity
XGBRegressor,10,27641,2765,2764,0.3,5.003455693585574,4.413892908827786,5.788712011577424,0.4485937290643482,5.003455693585574,4.413892908827786,5.788712011577424,0.4485937290643482,2,1,1,0.1666666666666666,0.4812677639341099,0.0001101953451431,2.089399670237244,0.0,1.2832235117192357,0.4584981711765721,3.1687769332848057,0.0,1.0,1,1,0,0.2,0,1,0.4000000000000001,1.2,1,2,0.4,2.0,2,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0304014329403174,0,0,0.6730116670092565
HUBERREGRESSOR,15,27646,1844,1843,0.2494438257849294,4.998940706642829,4.2841648590021695,6.077048290830168,0.5273422396285418,4.998940706642829,4.2841648590021695,6.077048290830168,0.5273422396285418,2,1,1,0.1666666666666666,0.4701079328435437,0.0003569139215451,1.5721959740502958,0.0,0.8860666488586525,0.0409628060566471,1.2161914077369442,0.0,1.0,1,1,0,0.2666666666666666,0,1,0.4422166387140533,1.2,1,2,0.4,2.0,2,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0282379509638308,0,0,0.6730116670092565
HUBERREGRESSOR,20,27641,1383,1382,0.2179449471770337,4.927497219178928,3.976861894432393,6.078147612156296,0.5898123576473486,4.927497219178928,3.976861894432393,6.078147612156296,0.5898123576473486,2,1,1,0.1666666666666666,0.2355448392018485,0.001187063134224,0.907521085652724,0.0,1.093360939579251,0.3744769065594111,1.3876124731950104,0.0,1.0,1,1,0,0.6,0,1,0.4898979485566356,1.05,1,2,0.2179449471770337,2.0,2,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0296248544717258,0,0,0.6730116670092565
XGBRegressor,5,20736,4148,4147,0.3999999999999999,4.880406395719135,4.702194357366771,5.160356884494815,0.1605414866968057,4.880406395719135,4.702194357366771,5.160356884494815,0.1605414866968057,5,4,1,0.1666666666666666,1.899387648452727,0.0353423236224135,4.481061899807494,8.863878775241584e-05,9.9950891375912,0.8168534643240677,23.793923558384765,0.0005271988652292,1.0,1,1,0,2.6,1,5,1.9595917942265424,5.0,5,5,0.0,5.0,5,5,0.0,4.0,4,4,0.0,2.0,2,2,0.0,0.0,0,0,0.0,0.0490419970584143,0,0,0.6730116670092565
XGBRegressor,10,20731,2074,2073,0.3,4.939463674250512,4.293294741919923,5.643994211287988,0.3329703013459989,4.939463674250512,4.293294741919923,5.643994211287988,0.3329703013459989,2,1,1,0.1666666666666666,0.5783802184216044,0.0434488740446074,2.1167370706390445,0.0,1.238132328468757,0.486796243594362,3.2116942879677164,0.0,1.0,1,1,0,0.1,0,1,0.3,1.2,1,2,0.4,2.0,2,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0477887875763633,0,0,0.6931471805599453
XGBRegressor,15,20731,1383,1382,0.2494438257849294,4.987713462243444,4.341534008683068,5.933429811866859,0.4107305687925053,4.987713462243444,4.341534008683068,5.933429811866859,0.4107305687925053,3,2,1,0.1666666666666666,1.20052499172192,7.883350996008196e-05,4.785143249338435,1.5017022866224004,6.496174720314198,0.4513396393190789,28.350747278369965,8.174963252846126,1.0,1,1,0,1.0,1,1,0.0,2.066666666666667,2,3,0.2494438257849294,3.0,3,3,0.0,1.0,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0447254119263232,0,0,0.6909233093138181
XGBRegressor,20,20721,1037,1036,0.2179449471770337,5.052832830074874,3.957528957528957,6.177606177606178,0.6263993788947396,5.052832830074874,3.957528957528957,6.177606177606178,0.6263993788947396,2,2,0,0.1666666666666666,0.1873038888180405,0.0,1.6401294685367804,0.3039955870463658,1.1911216292777698,0.1211079229335676,1.6709560568030442,0.2132467546320385,0.45,0,9,0,0.55,0,1,0.49749371855331,1.1,1,2,0.3,1.95,1,2,0.2179449471770337,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0455688982279736,0,0,0.6881388137135884
XGBRegressor,5,6911,1383,1382,0.4,4.977612166759274,4.630969609261939,5.716353111432706,0.3898781362012983,4.977612166759274,4.630969609261939,5.716353111432706,0.3898781362012983,5,4,1,0.5,1.985760845848804,0.0107557910299983,5.178018817831332,0.9719691085426286,10.104118296206195,0.2366460412448665,34.147131624129095,6.11087796792785,1.0,1,1,0,2.4,1,4,1.3564659966250538,4.4,4,5,0.4898979485566356,5.0,5,5,0.0,3.0,3,3,0.0,1.0,1,1,0.0,0.0,0,0,0.0,0.0665496313561977,0,0,0.6730116670092565
HUBERREGRESSOR,5,5760,1152,1152,0.0,4.965277777777778,4.253472222222222,5.902777777777778,0.5473570406400848,4.965277777777778,4.253472222222222,5.902777777777778,0.5473570406400848,8,7,1,1.0,1.848723875467248,0.0028627336349668,2.964432605034438,0.2946863105870757,9.188229969240322,0.3304689955963371,15.2828153999673,1.3721262515241928,1.0,1,1,0,3.8,1,8,3.059411708155671,7.2,7,8,0.3999999999999999,7.8,7,8,0.3999999999999999,6.0,6,6,0.0,4.0,4,4,0.0,0.0,0,0,0.0,0.0766736330825286,0,0,0.5004024235381879
LASSO,5,42046,8410,8409,0.3999999999999999,4.994529811994368,4.459507670353193,5.268165061243906,0.2848133682813233,4.994529811994368,4.459507670353193,5.268165061243906,0.2848133682813233,5,4,1,0.1666666666666666,1.890491728537303,0.0002328853923309,3.3093649742095432,0.5682076513507688,9.799375814539308,0.4483988671882075,17.526460614707183,2.59912989455395,1.0,1,1,0,4.0,4,4,0.0,4.0,4,4,0.0,5.0,5,5,0.0,3.0,3,3,0.0,1.0,1,1,0.0,0.0,0,0,0.0,0.0235065945635758,0,0,0.0
LASSO,10,42041,4205,4204,0.3,5.047454380687212,4.281636536631779,5.99429115128449,0.3999960487618135,5.047454380687212,4.281636536631779,5.99429115128449,0.3999960487618135,10,9,1,0.1666666666666666,0.9766478577389196,2.655196582511387e-05,3.732804750942142,0.3543643855064569,6.461641365630422,1.0003933573583073,21.08219536026895,1.6112327048115078,1.0,1,1,0,9.2,9,10,0.4,9.1,9,10,0.3,10.0,10,10,0.0,3.0,3,3,0.0,1.0,1,1,0.0,5.0,5,5,0.0,0.0237561276781812,4205,1051,0.0
LinearSVR,15,42046,2804,2803,0.2494438257849294,5.075390490014011,4.138423118087763,5.92222618622904,0.3934674498135554,5.075390490014011,4.138423118087763,5.92222618622904,0.3934674498135554,11,10,1,0.1666666666666666,1.4614704251062371,1.452112065053523e-05,3.7914061408140327,0.5468818207490649,9.108414949296964,0.0960672061150922,21.29444420914346,1.970312531151724,1.0,1,1,0,7.866666666666666,4,11,2.390722810272148,10.133333333333333,10,11,0.339934634239519,11.0,11,11,0.0,5.0,5,5,0.0,3.0,3,3,0.0,4.0,4,4,0.0,0.0255325889269295,2803,934,0.5799151714181009
HUBERREGRESSOR,20,42041,2103,2102,0.2179449471770336,5.133085443159675,4.329210275927688,6.279733587059944,0.5291061845317404,5.133085443159675,4.329210275927688,6.279733587059944,0.5291061845317404,10,9,1,0.1666666666666666,1.3401279211489596,1.0524175071584571e-11,3.87705286608696,0.5539536554716874,8.624818881556594,0.7397809608586337,22.48316814463803,1.7283842887483245,1.0,1,1,0,7.35,4,9,1.5898113095584647,9.15,9,10,0.3570714214271425,10.0,10,10,0.0,4.0,4,4,0.0,2.0,2,2,0.0,4.0,4,4,0.0,0.0250628565061062,1051,1050,0.5004024235381879
LASSO,5,12671,2535,2534,0.3999999999999999,5.043014217684851,4.696132596685083,5.288082083662194,0.2049678060481507,5.043014217684851,4.696132596685083,5.288082083662194,0.2049678060481507,5,4,1,0.5,1.938600881766472,0.0171503403649919,3.04127651919244,0.2547453245347378,9.744677498274864,0.0970873850309286,17.54892483719897,1.5446665838783893,1.0,1,1,0,4.0,4,4,0.0,4.0,4,4,0.0,5.0,5,5,0.0,3.0,3,3,0.0,1.0,1,1,0.0,0.0,0,0,0.0,0.0505948299786266,0,0,0.0
LinearSVR,10,12671,1268,1267,0.3,5.106140090977221,4.41988950276243,6.393054459352802,0.5734912793578874,5.106140090977221,4.41988950276243,6.393054459352802,0.5734912793578874,9,8,1,0.5,1.3880349534991543,3.385442521224236e-07,3.61676058122437,0.3689095264646106,8.122999481473927,0.7365305226404502,19.787156432292576,1.7723377402531575,1.0,1,1,0,7.2,4,8,1.6,8.3,8,9,0.4582575694955839,9.0,9,9,0.0,4.0,4,4,0.0,2.0,2,2,0.0,3.0,3,3,0.0,0.0513657295120592,1267,316,0.5004024235381879
LinearSVR,15,12661,845,844,0.2494438257849293,5.078596333791376,4.383886255924171,5.568720379146919,0.3485665639386955,5.078596333791376,4.383886255924171,5.568720379146919,0.3485665639386955,8,8,0,0.5,2.148612566681229,6.173990367182788e-07,3.579034982478745,0.3403607151432997,11.832862189794232,0.539898511166145,20.599587652332964,1.4786837930338643,0.0,0,0,0,3.6666666666666665,0,7,2.6749870196985173,7.466666666666667,7,8,0.498887651569859,8.0,8,8,0.0,6.0,6,6,0.0,4.0,4,4,0.0,0.0,0,0,0.0,0.0503729814619907,0,0,0.6909233093138181
LASSO,5,34560,6912,6912,0.0,4.973958333333334,4.817708333333334,5.251736111111112,0.1614676669942558,4.973958333333334,4.817708333333334,5.251736111111112,0.1614676669942558,7,6,1,0.1666666666666666,1.396273503374871,1.6985704936281387e-05,2.927763259152557,0.448945506732319,7.52432650402164,0.6338228398180905,15.259711186553227,1.6460479310383331,1.0,1,1,0,6.2,6,7,0.3999999999999999,5.8,5,6,0.3999999999999999,7.0,7,7,0.0,4.0,4,4,0.0,2.0,2,2,0.0,1.0,1,1,0.0,0.0248046407880187,6911,6911,0.0
LASSO,10,34560,3456,3456,0.0,5.0376157407407405,4.8032407407407405,5.381944444444445,0.1903794461758794,5.0376157407407405,4.8032407407407405,5.381944444444445,0.1903794461758794,6,5,1,0.1666666666666666,2.0179971158800445,0.0007131651874606,3.2864225595689605,0.3918060598450628,11.397574915035488,0.0433879490989728,17.533979264645005,1.2953638342935834,1.0,1,1,0,4.6,2,5,0.916515138991168,5.0,5,5,0.0,6.0,6,6,0.0,4.0,4,4,0.0,2.0,2,2,0.0,0.0,0,0,0.0,0.0265082894863252,0,0,0.3250829733914482
