model_name,num_clients,Sum of Instances in Clients,Max. Of Instances in Clients,Min. Of Instances in Clients,Stddev of Instances in Clients,Average Dataset Missing Values %,Min Dataset Missing Values %,Max Dataset Missing Values %,Stddev Dataset Missing Values %,Average Target Missing Values %,Min Target Missing Values %,Max Target Missing Values %,Stddev Target Missing Values %,No. Of Features,No. Of Numerical Features,No. Of Categorical Features,Sampling Rate,Average Skewness of Numerical Features,Minimum Skewness of Numerical Features,Maximum Skewness of Numerical Features,Stddev Skewness of Numerical Features,Average Kurtosis of Numerical Features,Minimum Kurtosis of Numerical Features,Maximum Kurtosis of Numerical Features,Stddev Kurtosis of Numerical Features,Avg No. of Symbols per Categorical Features,Min. No. Of Symbols per Categorical Features,Max. No. Of Symbols per Categorical Features,Stddev No. Of Symbols per Categorical Features,Avg No. Of Stationary Features,Min No. Of Stationary Features,Max No. Of Stationary Features,Stddev No. Of Stationary Features,Avg No. Of Stationary Features after 1st order,Min No. Of Stationary Features after 1st order,Max No. Of Stationary Features after 1st order,Stddev No. Of Stationary Features after 1st order,Avg No. Of Stationary Features after 2nd order,Min No. Of Stationary Features after 2nd order,Max No. Of Stationary Features after 2nd order,Stddev No. Of Stationary Features after 2nd order,Avg No. Of Significant Lags in Target,Min No. Of Significant Lags in Target,Max No. Of Significant Lags in Target,Stddev No. Of Significant Lags in Target,Avg No. Of Insignificant Lags in Target,Max No. Of Insignificant Lags in Target,Min No. Of Insignificant Lags in Target,Stddev No. Of Insignificant Lags in Target,Avg. No. Of Seasonality Components in Target,Max No. Of Seasonality Components in Target,Min No. Of Seasonality Components in Target,Stddev No. Of Seasonality Components in Target,Average Fractal Dimensionality Across Clients of Target,Maximum Period of Seasonality Components in Target Across Clients,Minimum Period of Seasonality Components in Target Across Clients,Entropy of Target Stationarity
XGBRegressor,5,34560,6912,6912,0.0,5.052083333333333,4.875578703703703,5.208333333333334,0.1285582169648328,5.052083333333333,4.875578703703703,5.208333333333334,0.1285582169648328,6,5,1,0.1666666666666666,1.31681705300741,0.1995300762877901,4.371940919155196,0.7438424901625142,4.465157482764672,0.061113159956387,22.18125197312701,3.8755827511907337,1.0,1,1,0,3.6,1,6,2.154065922853802,5.2,5,6,0.3999999999999999,6.0,6,6,0.0,4.0,4,4,0.0,2.0,2,2,0.0,0.0,0,0,0.0,0.048893579073241,0,0,0.6730116670092565
XGBRegressor,10,34560,3456,3456,0.0,5.130208333333334,4.6875,5.671296296296297,0.2922453703703704,5.130208333333334,4.6875,5.671296296296297,0.2922453703703704,6,5,1,0.1666666666666666,1.4107329436856677,0.0032656539276558,5.160962334174672,0.7635629257517198,5.534177339335182,0.2384250293432059,31.94453347276485,5.106112579012352,1.0,1,1,0,3.0,1,6,2.097617696340304,5.5,5,6,0.5,6.0,6,6,0.0,4.0,4,4,0.0,2.0,2,2,0.0,0.0,0,0,0.0,0.0483064639116493,0,0,0.6730116670092565
XGBRegressor,15,34560,2304,2304,0.0,5.101273148148149,4.427083333333334,5.859375,0.4015219620069826,5.101273148148149,4.427083333333334,5.859375,0.4015219620069826,5,4,1,0.1666666666666666,1.3589299283465444,0.0047182956682526,4.4511261088208,0.0024792860182971,6.37513720474722,0.0461007786934954,23.472899662321627,0.0217212447098184,1.0,1,1,0,1.0666666666666669,0,4,1.7688665548562137,5.0,5,5,0.0,5.0,5,5,0.0,4.0,4,4,0.0,2.0,2,2,0.0,0.0,0,0,0.0,0.0483718413659668,0,0,0.5799151714181009
XGBRegressor,20,34560,1728,1728,0.0,5.086805555555555,4.166666666666666,6.30787037037037,0.4545311450430311,5.086805555555555,4.166666666666666,6.30787037037037,0.4545311450430311,6,5,1,0.1666666666666666,1.2097488606102396,8.603026793891835e-05,4.552009064561116,0.7747520090414055,5.275322492846514,0.023682034482455,25.44833099101287,4.264097897662245,1.0,1,1,0,1.75,1,4,1.299038105676658,5.05,5,6,0.2179449471770336,6.0,6,6,0.0,4.0,4,4,0.0,2.0,2,2,0.0,0.0,0,0,0.0,0.046657401437597,0,0,0.5623351446188083
XGBRegressor,5,10366,2074,2073,0.3999999999999999,5.0646392219197,4.872165943077665,5.402797877472263,0.1806266519400277,5.0646392219197,4.872165943077665,5.402797877472263,0.1806266519400277,1,0,1,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0,0.0,0,0,0.0,1.0,1,1,0.0,1.0,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0989000599870251,0,0,0.0
HUBERREGRESSOR,10,10361,1037,1036,0.3,5.038079476362986,3.957528957528957,5.598455598455598,0.4538476633825979,5.038079476362986,3.957528957528957,5.598455598455598,0.4538476633825979,2,2,0,0.1666666666666666,0.1183921553138682,0.0,0.433435109084092,0.1186001262598399,1.246681409659474,0.0,1.722634061290237,0.2479826741039583,0.0,0,0,0,0.9,0,1,0.3,1.0,1,1,0.0,1.9,1,2,0.3,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0927773185866046,0,0,0.0
XGBRegressor,5,6911,1383,1382,0.4000000000000001,5.078851842666742,3.907380607814761,7.091172214182344,1.139839861581119,5.078851842666742,3.907380607814761,7.091172214182344,1.139839861581119,4,3,1,0.5,1.8892919410393805,0.0284675539799238,4.65932475626648,0.0007598616836823,10.31366990739937,1.344033172669702,26.43199650715401,0.0057365017262116,1.0,1,1,0,2.2,1,4,1.469693845669907,4.0,4,4,0.0,4.0,4,4,0.0,3.0,3,3,0.0,1.0,1,1,0.0,0.0,0,0,0.0,0.1275054102384204,0,0,0.6730116670092565
XGBRegressor,5,11520,2304,2304,0.0,4.939236111111111,4.383680555555555,5.46875,0.3697142263723412,4.939236111111111,4.383680555555555,5.46875,0.3697142263723412,6,5,1,0.5,1.2081224030641615,0.0053483965933522,4.386368225903823,0.643098557030472,4.3234615504779415,0.0806432879643339,22.19537655816829,3.596686803170837,1.0,1,1,0,4.0,1,5,1.5491933384829668,5.2,5,6,0.3999999999999999,6.0,6,6,0.0,4.0,4,4,0.0,2.0,2,2,0.0,0.0,0,0,0.0,0.1124145453706241,0,0,0.5004024235381879
XGBRegressor,10,11520,1152,1152,0.0,5.086805555555555,4.079861111111112,5.815972222222222,0.5877191277712068,5.086805555555555,4.079861111111112,5.815972222222222,0.5877191277712068,5,4,1,0.5,1.3258921815535485,0.003831444269295,4.732155010362825,0.7312006189662269,5.200251707435195,0.0009794731050143,26.87701051266757,4.845753004951728,1.0,1,1,0,2.7,0,5,1.7916472867168918,4.4,4,5,0.4898979485566356,5.0,5,5,0.0,3.0,3,3,0.0,1.0,1,1,0.0,0.0,0,0,0.0,0.110680835929313,0,0,0.6730116670092565
XGBRegressor,5,6911,1383,1382,0.4,5.078778594322416,4.052098408104197,5.788712011577424,0.6274169409597726,5.078778594322416,4.052098408104197,5.788712011577424,0.6274169409597726,2,1,1,0.1666666666666666,0.1795151637250345,0.1106656337250783,0.3057771787433085,0.0,1.3221867391031967,1.2014274269655345,1.4060163771981442,0.0,1.0,1,1,0,1.0,1,1,0.0,1.0,1,1,0.0,2.0,2,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0883801874003987,0,0,0.0
XGBRegressor,5,17280,3456,3456,0.0,5.104166666666667,4.57175925925926,5.815972222222222,0.4151367230199294,5.104166666666667,4.57175925925926,5.815972222222222,0.4151367230199294,1,0,1,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0,1.0,1,1,0.0,1.0,1,1,0.0,1.0,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0764516609950166,0,0,0.5004024235381879
LASSO,10,17280,1728,1728,0.0,5.069444444444445,4.224537037037037,5.844907407407407,0.4285534393882781,5.069444444444445,4.224537037037037,5.844907407407407,0.4285534393882781,2,1,1,0.1666666666666666,0.2146067229583222,0.0332162010486541,0.7514252958744367,0.0,0.9376499505534356,0.114389354196648,1.380406783940281,0.0,1.0,1,1,0,1.0,1,1,0.0,1.0,1,1,0.0,2.0,2,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0683834563781138,0,0,0.0
ELASTICNETCV,15,17280,1152,1152,0.0,5.150462962962963,4.340277777777778,6.423611111111111,0.5798599560127474,5.150462962962963,4.340277777777778,6.423611111111111,0.5798599560127474,3,2,1,0.1666666666666666,0.1667360470567234,0.0164243871909135,0.4017798858577892,0.0553823030346364,1.2828689254902028,0.9581419090051532,1.616287311324506,0.1071453462318472,1.0,1,1,0,1.0,1,1,0.0,2.0,2,2,0.0,3.0,3,3,0.0,1.0,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0707683324492507,0,0,0.0
QUANTILEREGRESSOR,20,17280,864,864,0.0,5.005787037037037,3.935185185185185,6.712962962962964,0.6607113686042347,5.005787037037037,3.935185185185185,6.712962962962964,0.6607113686042347,2,2,0,0.1666666666666666,0.2913571025082407,0.0017826163499258,0.8565295257596744,0.165596936769198,1.1977462757509685,0.5104207090289452,1.5237588641088176,0.164245479149258,0.05,0,1,0,1.0,1,1,0.0,1.0,1,1,0.0,2.0,2,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0639463175860221,0,0,0.0
HUBERREGRESSOR,5,8061,1613,1612,0.4,5.024237007318023,4.649721016738996,5.707196029776675,0.3768932795843754,5.024237007318023,4.649721016738996,5.707196029776675,0.3768932795843754,4,3,1,0.5,0.0912284274091155,0.0178514055086738,0.2310137001536427,0.0003600445068745,1.0933596454078356,0.7827428967191117,1.284915292727035,0.0009370603064671,1.0,1,1,0,1.6,1,4,1.2000000000000002,4.0,4,4,0.0,4.0,4,4,0.0,3.0,3,3,0.0,1.0,1,1,0.0,0.0,0,0,0.0,0.1803161679884995,0,0,0.5004024235381879
HUBERREGRESSOR,10,8061,807,806,0.3,5.073934340033393,4.089219330855019,6.327543424317618,0.6441435970376522,5.073934340033393,4.089219330855019,6.327543424317618,0.6441435970376522,3,3,0,0.5,0.1023113977164517,0.0048927510554288,0.1839389707481042,0.0206320729976979,1.1696749257496863,1.0576486382039507,1.3537065605970735,0.0395176847069922,0.0,0,0,0,0.0,0,0,0.0,3.0,3,3,0.0,3.0,3,3,0.0,2.0,2,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.1688830676855448,0,0,0.0
LASSO,5,10366,2074,2073,0.3999999999999999,4.919926073439981,4.100337674867342,5.595754944524843,0.5003426643947808,4.919926073439981,4.100337674867342,5.595754944524843,0.5003426643947808,3,2,1,0.5,0.0945364997233952,0.0257096975274116,0.2693243980895756,0.000288488949414,1.1249462425864931,0.865704093280518,1.3648884535114902,0.0002808078014734,1.0,1,1,0,2.2,1,3,0.9797958971132712,3.0,3,3,0.0,3.0,3,3,0.0,2.0,2,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.2059469330080016,0,0,0.6730116670092565
HUBERREGRESSOR,10,10361,1037,1036,0.3,5.105665660149748,3.957528957528957,5.984555984555985,0.5986733426063475,5.105665660149748,3.957528957528957,5.984555984555985,0.5986733426063475,3,3,0,0.5,0.045971151977494,0.0,0.1001185519995083,0.017916836316405,1.26752465565925,1.1404664617982372,1.390753272337294,0.0195938329998712,0.0,0,0,0,0.0,0,0,0.0,3.0,3,3,0.0,3.0,3,3,0.0,2.0,2,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.1893854194378335,0,0,0.0
QUANTILEREGRESSOR,5,13821,2765,2764,0.3999999999999999,5.0864747738293685,4.848046309696093,5.499276410998553,0.2331565278845474,5.0864747738293685,4.848046309696093,5.499276410998553,0.2331565278845474,2,1,1,0.1666666666666666,0.0957585405898839,0.032621084236685,0.1439549913399473,0.0,1.261738915480657,1.1836632256266817,1.312245224671465,0.0,1.0,1,1,0,0.2,0,1,0.4000000000000001,2.0,2,2,0.0,2.0,2,2,0.0,1.0,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0808645831343189,0,0,0.0
LASSO,10,13821,1383,1382,0.3,4.970705894294268,4.196816208393632,5.933429811866859,0.475738074951732,4.970705894294268,4.196816208393632,5.933429811866859,0.475738074951732,3,2,1,0.1666666666666666,0.2412596574577836,0.0113084732780285,0.5467826296924366,0.0719627260562503,1.135783838789066,0.3256903935632684,1.384447444454451,0.1301031111806279,1.0,1,1,0,1.0,1,1,0.0,2.0,2,2,0.0,3.0,3,3,0.0,1.0,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.076942819994411,0,0,0.0
LASSO,15,13816,922,921,0.2494438257849293,5.0955805056436025,4.017372421281216,6.297502714440825,0.5995640297889542,5.0955805056436025,4.017372421281216,6.297502714440825,0.5995640297889542,2,2,0,0.1666666666666666,0.2558828195191747,0.008676613756344,0.772234447469469,0.1504330030541512,1.2123743215098388,0.6262917080563839,1.5306323508439872,0.1169169700732709,0.0,0,0,0,1.0,1,1,0.0,1.0,1,1,0.0,2.0,2,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0691348273228712,0,0,0.0
HUBERREGRESSOR,5,10366,2074,2073,0.3999999999999999,4.852442269878462,4.435872709739633,5.258080077182827,0.2641861170559785,4.852442269878462,4.435872709739633,5.258080077182827,0.2641861170559785,4,3,1,0.5,0.0939224636790255,0.0248539932395669,0.2620793561122549,0.000447000665477,1.1117201016815106,0.8434980410116464,1.2897167719298783,0.00044205119985,1.0,1,1,0,3.4,1,4,1.2000000000000002,4.0,4,4,0.0,4.0,4,4,0.0,3.0,3,3,0.0,1.0,1,1,0.0,0.0,0,0,0.0,0.1772307140549444,0,0,0.5004024235381879
HUBERREGRESSOR,10,10361,1037,1036,0.3,4.980201650886318,3.861003861003861,5.791505791505792,0.5777486618218721,4.980201650886318,3.861003861003861,5.791505791505792,0.5777486618218721,3,3,0,0.5,0.0416281212469071,0.0,0.1145432237211335,0.0108405369069628,1.2683278290997264,1.204209419484663,1.3750534359138378,0.0234154906833367,0.0,0,0,0,0.0,0,0,0.0,3.0,3,3,0.0,3.0,3,3,0.0,2.0,2,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.1650171774397485,0,0,0.0
HUBERREGRESSOR,5,4606,922,921,0.4,4.928364670110062,4.451682953311618,5.428881650380022,0.3922071529800137,4.928364670110062,4.451682953311618,5.428881650380022,0.3922071529800137,2,2,0,1.0,0.0669715322354999,0.0072484264860759,0.1282330337081961,0.0106610857508946,1.2304386633286528,1.1625773711917995,1.3021617120325912,0.020184530096993,0.0,0,0,0,1.6,1,2,0.4898979485566356,2.0,2,2,0.0,2.0,2,2,0.0,1.0,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.2782970490548658,0,0,0.6730116670092565
XGBRegressor,5,24191,4839,4838,0.3999999999999999,4.9315952163167855,4.361306324927656,5.332782141380736,0.3580336202669048,4.9315952163167855,4.361306324927656,5.332782141380736,0.3580336202669048,4,3,1,0.1666666666666666,0.0832503350226779,0.0224619250487313,0.2048463642023964,0.0001052826202376,1.0503823201006504,0.7372508524157975,1.2213332658164815,0.0003001626753414,1.0,1,1,0,1.0,1,1,0.0,4.0,4,4,0.0,4.0,4,4,0.0,3.0,3,3,0.0,1.0,1,1,0.0,0.0,0,0,0.0,0.0846939462315457,0,0,0.0
HUBERREGRESSOR,10,24191,2420,2419,0.3,4.956390353229769,4.257957833815626,6.200909466721786,0.5488948308823115,4.956390353229769,4.257957833815626,6.200909466721786,0.5488948308823115,4,3,1,0.1666666666666666,0.0443861186552184,0.0059774319917948,0.0993078066479637,0.000446905616528,1.1987257451659394,1.0588802140845834,1.2653885928096056,0.0009541316469259,1.0,1,1,0,0.0,0,0,0.0,4.0,4,4,0.0,4.0,4,4,0.0,3.0,3,3,0.0,1.0,1,1,0.0,0.0,0,0,0.0,0.0810218074140234,0,0,0.0
QUANTILEREGRESSOR,15,24181,1613,1612,0.2494438257849294,4.954305305784217,3.8461538461538463,6.20347394540943,0.5483020534040569,4.954305305784217,3.8461538461538463,6.20347394540943,0.5483020534040569,2,1,1,0.1666666666666666,0.1501787579008627,0.0059622588771368,0.8425304031998,0.0,0.8260342979477358,0.3219716042830218,1.4244376797044758,0.0,1.0,1,1,0,1.0,1,1,0.0,1.0,1,1,0.0,2.0,2,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.080184624955033,0,0,0.0
LASSO,20,24181,1210,1209,0.2179449471770337,5.041137747882616,4.13564929693962,5.707196029776675,0.5140963122223243,5.041137747882616,4.13564929693962,5.707196029776675,0.5140963122223243,2,1,1,0.1666666666666666,0.1907093525054848,0.0131613388144865,0.3939653360117966,0.0,1.2376964979007865,1.1854600517499758,1.2989469775604,0.0,1.0,1,1,0,1.0,1,1,0.0,1.0,1,1,0.0,2.0,2,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0823710877472942,0,0,0.0
LinearSVR,5,9216,1844,1843,0.4,5.034750707078316,4.612045577862181,5.588714053174173,0.3373343768621985,5.034750707078316,4.612045577862181,5.588714053174173,0.3373343768621985,2,1,1,0.5,0.072136046843199,0.0319465311171285,0.1077237213435349,0.0,1.2678275267240011,1.2101834073526594,1.3071864092507328,0.0,1.0,1,1,0,2.0,2,2,0.0,2.0,2,2,0.0,2.0,2,2,0.0,1.0,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.1911023064984099,0,0,0.5004024235381879
HUBERREGRESSOR,10,9211,922,921,0.3,4.972360986478434,4.3431053203040175,5.646036916395222,0.42601755567163,4.972360986478434,4.3431053203040175,5.646036916395222,0.42601755567163,3,3,0,0.5,0.1164738319698382,0.0165298757007672,0.1867017117037726,0.0244290993304795,1.2185834941322229,0.951271872102815,1.3732518509830949,0.0460814965642118,0.0,0,0,0,0.2,0,1,0.4000000000000001,3.0,3,3,0.0,3.0,3,3,0.0,2.0,2,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.1816121780781924,0,0,0.0
LASSO,5,12671,2535,2534,0.3999999999999999,4.798347990018199,4.538279400157854,4.932912391475927,0.1443155523220182,4.798347990018199,4.538279400157854,4.932912391475927,0.1443155523220182,1,1,0,0.5,0.5749385294234356,0.0195687317060373,1.379377484960008,0.0,1.1028254732885243,0.5636298253082241,1.837266741751896,0.0,0.0,0,0,0,0.4,0,1,0.4898979485566356,0.0,0,0,0.0,1.0,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0118447820392085,0,0,0.5004024235381879
LASSO,10,12671,1268,1267,0.3,4.861573452777245,3.86435331230284,6.156274664561957,0.5498727006398423,4.861573452777245,3.86435331230284,6.156274664561957,0.5498727006398423,1,1,0,0.5,0.1947242577384617,1.0052375617211608e-06,0.8633551514409562,0.0,1.0971790155603138,0.5302790796105503,1.2367618629446029,0.0,0.0,0,0,0,0.2,0,1,0.4000000000000001,0.1,0,1,0.3,1.0,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0122147173881475,0,0,0.5004024235381879
LinearSVR,15,12661,845,844,0.2494438257849293,5.039204688858352,3.6686390532544375,6.161137440758294,0.8027667671584836,5.039204688858352,3.6686390532544375,6.161137440758294,0.8027667671584836,6,6,0,0.5,1.9077735157119249,8.682342131541197e-07,5.135945804776897,0.7857948527849634,12.317335234929036,0.0183971841622665,38.58155042681074,5.391234706817808,0.0,0,0,0,4.733333333333333,2,6,0.9285592184789414,5.2,5,6,0.3999999999999999,6.0,6,6,0.0,3.0,3,3,0.0,1.0,1,1,0.0,2.0,2,2,0.0,0.010102740752046,842,842,0.3926744672275521
LinearSVR,5,10366,2074,2073,0.3999999999999999,5.180394854912381,4.245055475156778,5.836951278340569,0.5254049807470998,5.180394854912381,4.245055475156778,5.836951278340569,0.5254049807470998,1,1,0,0.5,0.3369714345957788,2.070176499108719e-06,1.3941699840434545,0.0,1.4097639410457687,1.2000001549358348,1.7510390069906907,0.0,0.0,0,0,0,0.6,0,1,0.4898979485566356,0.0,0,0,0.0,1.0,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0195957009653815,0,0,0.6730116670092565
HUBERREGRESSOR,10,10361,1037,1036,0.3,4.960868707252507,3.571428571428571,5.694980694980695,0.6545980257157205,4.960868707252507,3.571428571428571,5.694980694980695,0.6545980257157205,4,4,0,0.5,3.171732010567694,3.762833374610816e-07,5.319194232430116,0.6583624250911612,18.80444898482488,0.8427309196024684,38.7108310017382,4.797584151974562,0.0,0,0,0,2.7,0,3,0.9,3.0,3,3,0.0,4.0,4,4,0.0,3.0,3,3,0.0,1.0,1,1,0.0,0.0,0,0,0.0,0.0156043940801957,0,0,0.3250829733914482
LinearSVR,5,10366,2074,2073,0.3999999999999999,4.948846374449284,4.630969609261939,5.209840810419681,0.2309847795374992,4.948846374449284,4.630969609261939,5.209840810419681,0.2309847795374992,8,8,0,0.1666666666666666,1.096439058034519,8.102573604672635e-06,3.762011259093777,0.6333868592138855,7.536225493757074,1.183321338214708,20.826601545691453,1.5560489419091714,0.0,0,0,0,6.6,5,7,0.7999999999999999,7.0,7,7,0.0,7.8,7,8,0.3999999999999999,3.0,3,3,0.0,1.0,1,1,0.0,4.0,4,4,0.0,0.0099989954669565,2074,2073,0.5004024235381879
HUBERREGRESSOR,10,10361,1037,1036,0.3,5.163552793736015,4.536679536679537,5.791505791505792,0.4902861515433825,5.163552793736015,4.536679536679537,5.791505791505792,0.4902861515433825,8,8,0,0.1666666666666666,1.4749913661866558,3.324338128842761e-07,5.048683911222811,0.6855559107356762,11.405662801797366,1.188201932605045,32.975047702745165,2.2934501892303585,0.0,0,0,0,5.6,3,6,0.916515138991168,7.0,7,7,0.0,8.0,8,8,0.0,3.0,3,3,0.0,1.0,1,1,0.0,4.0,4,4,0.0,0.010481424736984,345,2,0.0
HUBERREGRESSOR,5,17280,3456,3456,0.0,5.104166666666666,4.74537037037037,5.295138888888888,0.1889447652466957,5.104166666666666,4.74537037037037,5.295138888888888,0.1889447652466957,5,5,0,0.1666666666666666,2.125558859174508,0.0004816604398962,4.40082278357757,0.5678388578071987,9.35491346209524,1.0569564213612128,22.945145710426043,2.961902352393308,0.0,0,0,0,2.6,0,5,2.154065922853802,4.2,4,5,0.3999999999999999,5.0,5,5,0.0,4.0,4,4,0.0,2.0,2,2,0.0,0.0,0,0,0.0,0.0178017459588241,0,0,0.6730116670092565
LinearSVR,10,17280,1728,1728,0.0,5.05787037037037,4.282407407407407,5.671296296296297,0.4254161099418775,5.05787037037037,4.282407407407407,5.671296296296297,0.4254161099418775,5,5,0,0.1666666666666666,2.849886470400424,0.0006554958697141,4.577649144984365,0.6463118681662811,16.543441730020795,0.8214614668233962,27.536056509916506,3.064454197466951,0.0,0,0,0,3.7,1,4,0.9,4.0,4,4,0.0,5.0,5,5,0.0,4.0,4,4,0.0,2.0,2,2,0.0,0.0,0,0,0.0,0.0170946808733262,0,0,0.3250829733914482
LinearSVR,15,17280,1152,1152,0.0,5.05787037037037,4.427083333333334,5.902777777777778,0.3702799368760737,5.05787037037037,4.427083333333334,5.902777777777778,0.3702799368760737,11,11,0,0.1666666666666666,1.4170101289708223,4.005801994799989e-06,4.9802696757724965,0.656084773688041,9.625142580615018,0.3210087960162684,34.21204054618945,3.759563284102398,0.0,0,0,0,9.933333333333334,7,11,0.8537498983243801,9.933333333333334,9,11,0.573488351136175,10.866666666666667,10,11,0.339934634239519,4.0,4,4,0.0,2.0,2,2,0.0,6.0,6,6,0.0,0.0162493439808835,14,2,0.2449300267946353
LinearSVR,20,17280,864,864,0.0,5.086805555555555,4.050925925925926,5.787037037037037,0.5064566717296816,5.086805555555555,4.050925925925926,5.787037037037037,0.5064566717296816,5,5,0,0.1666666666666666,2.4037197638888896,1.725445854926719e-07,5.182654816675202,0.8222726354760163,16.118251415816292,0.8224925848454889,36.84495705007839,4.131859767558011,0.0,0,0,0,3.9,2,4,0.4358898943540674,4.1,4,5,0.3,5.0,5,5,0.0,3.0,3,3,0.0,1.0,1,1,0.0,0.0,0,0,0.0,0.0170581075568565,0,0,0.1985152433458726
LASSO,5,5760,1152,1152,0.0,4.861111111111112,4.600694444444445,5.208333333333334,0.2515864018435667,4.861111111111112,4.600694444444445,5.208333333333334,0.2515864018435667,4,4,0,1.0,1.4827180246075184,0.0001866042605029,4.5124305117769525,0.8883329683228275,7.860322511415873,1.0629223053727377,23.362512105880263,5.079231098242041,0.0,0,0,0,3.0,2,4,0.6324555320336759,3.0,3,3,0.0,4.0,4,4,0.0,2.0,2,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0213452978235749,0,0,0.5004024235381879
LASSO,5,7006,1402,1401,0.4,5.181310272568707,4.921540656205421,5.710206995003569,0.2952587868910288,5.181310272568707,4.921540656205421,5.710206995003569,0.2952587868910288,3,3,0,1.0,1.3615793441867907,0.0029824112588996,3.8133341954308992,0.8529100139892836,6.01626640424294,0.9293760620178256,19.38701127169103,4.082527782138878,0.0,0,0,0,1.2,0,2,0.7483314773547883,2.0,2,2,0.0,3.0,3,3,0.0,2.0,2,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.018564478659756,0,0,0.6730116670092565
LASSO,5,5760,1152,1152,0.0,5.121527777777778,4.079861111111112,5.989583333333334,0.7094728035313386,5.121527777777778,4.079861111111112,5.989583333333334,0.7094728035313386,5,5,0,0.5,2.1098996650966293,0.0008539418204163,4.252433564048244,0.6205686766766328,9.047603355678495,1.1459136012552515,20.79884841021836,2.7916330992047658,0.0,0,0,0,2.0,0,5,2.097617696340304,4.2,4,5,0.3999999999999999,4.8,4,5,0.3999999999999999,4.0,4,4,0.0,2.0,2,2,0.0,0.0,0,0,0.0,0.0127544240420815,0,0,0.6730116670092565
HUBERREGRESSOR,5,6336,1268,1267,0.4000000000000001,4.908412778639525,4.262036306235202,5.367008681925809,0.468808824392967,4.908412778639525,4.262036306235202,5.367008681925809,0.468808824392967,10,10,0,1.0,1.0421268223931808,1.3104685084352624e-05,4.2830969227576645,0.3045722832055963,6.607026617886528,0.6818137737886403,22.383031852777112,1.54390396797855,0.0,0,0,0,8.8,8,10,0.7483314773547883,9.2,9,10,0.3999999999999999,9.8,9,10,0.3999999999999999,3.0,3,3,0.0,1.0,1,1,0.0,6.0,6,6,0.0,0.0164602489027572,1268,4,0.5004024235381879
LinearSVR,5,42046,8410,8409,0.3999999999999999,4.935075365856383,4.733024140801522,5.256273040789631,0.2257247506896429,4.935075365856383,4.733024140801522,5.256273040789631,0.2257247506896429,5,5,0,0.1666666666666666,1.98297335691858,4.649816762655096e-05,4.816317951763693,0.7215309553030731,11.334090911137682,0.3717544822167737,28.946774634556405,4.256081746812491,0.0,0,0,0,3.4,1,4,1.2,4.0,4,4,0.0,5.0,5,5,0.0,3.0,3,3,0.0,1.0,1,1,0.0,1.0,1,1,0.0,0.0093709955000777,2102,2102,0.5004024235381879
LASSO,10,42041,4205,4204,0.3,4.995130055629032,4.732461355529132,5.280685061845861,0.1448937010952472,4.995130055629032,4.732461355529132,5.280685061845861,0.1448937010952472,2,2,0,0.1666666666666666,2.057693169950011,0.0027548541714143,5.042776519745312,0.917387418099888,13.221470569079122,0.1885318747764977,31.0292788408256,2.948875203809253,0.0,0,0,0,1.1,1,2,0.3,1.0,1,1,0.0,2.0,2,2,0.0,1.0,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0105067678761544,0,0,0.0
